office_name,category,address,general_loc,telephone_num,website
North Coast Law,Lawyers & Solicitor,"7 Margaret St, Palmwoods, QLD, 4555|87.05km","Palmwoods, QLD 4555",(07) 5457 3246,http://northcoastlaw.com.au
Macdonald & Michel Lawyers,Lawyers & Solicitor,"Level 2 Gladstone City Plaza 100 Goondoon St, Gladstone, QLD, 4680|440.27km","Gladstone, QLD 4680",(07) 4972 3644,http://www.macdonaldmichel.com.au
Bartels Ian W. & Associates,Lawyers & Solicitor,"1408 Logan Road, Mt Gravatt, QLD, 4122|9.39km","Mt Gravatt East, QLD 4122",(07) 3834 2307,https://ianbartels.com.au
JMR Lawyers & Mediators,Lawyers & Solicitor,"479 Underwood Rd, Rochedale, QLD, 4123|16.83km","Rochedale South, QLD 4123",(07) 3841 4309,http://www.jmrlawyers.com.au
Atherton Tablelands Law,Lawyers & Solicitor,"13A Herberton Rd, Atherton, QLD, 4883|1373.36km","Atherton, QLD 4883",(07) 4091 5388,http://www.tablelandslaw.com.au
Gayler Cleland Solicitors,Lawyers & Solicitor,"2nd Floor, Cnr Spence and Draper Streets, Cairns Qld 4870, Cairns, QLD, 4870|1388.61km","Portsmith, QLD 4870",(07) 4051 6111,http://www.gaylercleland.com.au
Siemons Lawyers,Lawyers & Solicitor,"Suite 10, Noosa Professional Centre,, Noosa Heads, QLD, 4567|118.69km","Noosaville, QLD 4566",(07) 5474 5777,http://www.siemonslawyers.com.au
JHL Lawyers,Lawyers & Solicitor,"Suite 2901 and 2902, Level 9 Southport Central Tower 2, 5 Lawson Street, Southport, QLD, 4215|67.8km","Southport, QLD 4215",(07) 5531 0399,http://www.jhllawyers.com.au
Paramount Legal,Lawyers & Solicitor,"14/ 140 Robina Town Centre Dr, Robina, QLD, 4226|76.71km","Robina, QLD 4226",(07) 5578 8888,http://www.paramountlegal.com.au
Gerard Malouf & Partners,Lawyers & Solicitor,0,"New Farm, QLD 4005",1300 173 316,https://www.gerardmaloufpartners.com.au
Dean Kath Kohler Solicitors,Lawyers & Solicitor,"15 Kitchener Street, East Toowoomba, QLD, 4350|105.39km","East Toowoomba, QLD 4350",(07) 4698 9600,http://www.dkklaw.com.au
S.B. Wright & Wright And Condie,Lawyers & Solicitor,"5 Sydney St, Mackay, QLD, 4740|803.7km","Mackay, QLD 4740",(07) 4957 4775,0
Cronin Shearer Lawyers,Lawyers & Solicitor,"Level 1 Kay House 35-39 Scarborough St, Southport, QLD, 4215|67.96km","Southport, QLD 4215",(07) 5532 2390,http://www.croninshearer.com.au
McDonald Leong Lawyers,Lawyers & Solicitor,"85 Thuringowa Dr, Kirwan, QLD, 4817|1111.09km","Kirwan, QLD 4817",(07) 4723 5155,http://www.mcdonaldleong.com.au
Nautilus Law Group,Lawyers & Solicitor,"Suite 7 Level 3 128 Bundall Rd, Bundall, QLD, 4217|70.78km","Bundall, QLD 4217",(07) 5574 3560,http://www.nautiluslaw.com.au
SJP Law,Lawyers & Solicitor,"Traders Place Suite 4 22 Denna St, Maroochydore, QLD, 4558|91.75km","Maroochydore, QLD 4558",(07) 5475 4782,http://www.sjplaw.com.au
Keogh & Co Lawyers,Lawyers & Solicitor,"160 Hume St Cnr Of Hume and Clopton Street, Toowoomba, QLD, 4350|105.64km","East Toowoomba, QLD 4350",(07) 4632 2411,http://www.keoghandcolawyers.com.au
Ferrier & Co Solicitors,Lawyers & Solicitor,"123 McDowall St, Roma, QLD, 4455|431.27km","Roma, QLD 4455",(07) 4578 5100,https://www.fcolaw.com.au
Newman Family Law,Lawyers & Solicitor,"Level 1 (Room 200) 181 Mulgrave Road, Cairns, QLD, 4870|1389.26km","Bungalow, QLD 4870",(07) 4031 9328,http://www.newmanfamilylaw.com.au
Cairns Personal Injury Lawyers,Lawyers & Solicitor,"Tower Offices 2nd Floor Corner Of Spence and Draper Streets, Cairns City, QLD, 4870|1384.12km","Bentley Park, QLD 4869",(07) 4051 6111,http://www.gaylercleland.com.au
Kruger Law,Lawyers & Solicitor,"Level 4, Ocean Central Cnr Duporth Ave and Ocean St, Maroochydore, QLD, 4558|90.98km","Maroochydore, QLD 4558",(07) 5443 9600,http://www.krugerlaw.com.au
Macfie Curlewis Spiro,Lawyers & Solicitor,"72 Old Cleveland Rd, Capalaba, QLD, 4157|17.54km","Capalaba, QLD 4157",(07) 3390 2122,http://www.macfiecurlewisspiro.com.au
Goodman Lawyers,Lawyers & Solicitor,"Matisse Tower Level 4 110 Mary St, Brisbane, QLD, 4000|200m","Brisbane, QLD 4000",(07) 3210 0000,http://www.goodmanlawyers.com.au
